"","fund_id","fk_manager_id","fund_type","amount"
"902",902,14,"specialty",1.9
"903",903,5,"specialty",1.82
"904",904,15,"equity",1.04
"905",905,14,"equity",1.53
"906",906,11,"specialty",2.17
"907",907,11,"equity",2.17
"908",908,9,"fixed income",1.89
"909",909,20,"fixed income",2.21
"910",910,11,"equity",3.24
"911",911,6,"equity",2.46
"912",912,8,"equity",1.87
"913",913,5,"equity",0.79
"914",914,5,"money market",1.29
"915",915,4,"equity",1.77
"916",916,14,"equity",2.17
"917",917,17,"equity",2.29
"918",918,18,"money market",1.45
"919",919,3,"fixed income",2.06
"920",920,2,"money market",1.3
"921",921,4,"equity",2.59
"922",922,3,"equity",1.68
"923",923,16,"fixed income",2.03
"924",924,2,"money market",2.31
"925",925,1,"specialty",1.75
"926",926,18,"specialty",2.35
"927",927,17,"equity",2.2
"928",928,11,"equity",3.02
"929",929,7,"money market",2.33
"930",930,10,"money market",1.64
"931",931,6,"fixed income",1.92
"932",932,7,"money market",3.51
"933",933,7,"fixed income",2.32
"934",934,13,"specialty",1.3
"935",935,6,"money market",2.25
"936",936,11,"money market",2.24
"937",937,12,"equity",2.92
"938",938,12,"specialty",3.09
"939",939,12,"fixed income",2.06
"940",940,10,"equity",2.85
"941",941,7,"fixed income",2.8
"942",942,19,"money market",3.33
"943",943,13,"money market",2.13
"944",944,13,"equity",1.83
"945",945,15,"specialty",2.78
"946",946,13,"money market",1.18
"947",947,14,"specialty",1.57
"948",948,9,"fixed income",1.21
"949",949,20,"equity",1.78
"950",950,16,"equity",2.24
"951",951,19,"specialty",1.19
"952",952,13,"money market",1.74
"953",953,16,"specialty",1.79
"954",954,5,"specialty",2.04
"955",955,13,"specialty",3.38
"956",956,3,"money market",2.05
"957",957,11,"fixed income",0.88
"958",958,20,"money market",1.13
"959",959,10,"specialty",1.66
"960",960,6,"equity",1.7
"961",961,6,"specialty",3.28
"962",962,13,"equity",2.37
"963",963,19,"money market",1.89
"964",964,20,"specialty",2.17
"965",965,14,"money market",2.49
"966",966,6,"equity",1.54
"967",967,10,"specialty",1.24
"968",968,4,"equity",2.7
"969",969,16,"fixed income",1.04
"970",970,10,"money market",3.04
"971",971,13,"equity",0.82
"972",972,11,"equity",1.05
"973",973,19,"specialty",2.28
"974",974,14,"equity",1.76
"975",975,2,"specialty",1.99
"976",976,7,"money market",2.06
"977",977,16,"equity",1.24
"978",978,16,"money market",1.28
"979",979,8,"money market",2.27
"980",980,8,"fixed income",3.59
"981",981,17,"equity",1.27
"982",982,6,"equity",2.03
"983",983,18,"equity",1.27
"984",984,16,"equity",2.87
"985",985,7,"equity",1.76
"986",986,13,"equity",3.11
"987",987,18,"equity",1.68
"988",988,14,"fixed income",2.43
"989",989,7,"money market",1.49
"990",990,8,"money market",1.86
"991",991,19,"equity",2.4
"992",992,12,"specialty",2.4
"993",993,7,"money market",1.43
"994",994,20,"money market",2.17
"995",995,2,"specialty",1.54
"996",996,11,"fixed income",2.48
"997",997,2,"money market",1.44
"998",998,19,"money market",2.12
"999",999,20,"fixed income",2.33
"1000",1000,18,"equity",1.56
